,Tweet_text
319,honestly epic event - women lead sharing what/who helped succeed #womenintech #stem #yyj #leadership
320,bcsa ceo catherine roome share thoughts leadership iwist_org #leadingtheway event tomorrow.
321,kimsnage thanks rt! appreciate cha! hope visit cleveland april 2017 #women #stem #leadership info
322,51% clark college #stem faculty women. leadership stem education #vanwa good pnw
323,creating technology career paths women\ msignitenz datacom #diversity #stem westpacnz #leadership
324,cletechevents let's stay connected. we're working closely women stem others leadership conference #wopincle wopnetwork
325,"fsu's association computing machinery chpater platform leadership, extend resources women"
326,looking grow career in#stem? check focusstl mastercard women leadership
327,always great see women under-represented tech stem leadership
328,accenturesecure women proud represent global thought leaders #security #ewfusa16. khannatw cyber_lab_dc jln_combs
329,"l\xe2\x80\x99or\xc3\xa9al, unesco honor
 nigerian, 13 african \xe2\x80\x98women science\xe2\x80\x99 2016 | nigerian news leadership news"
330,"#stl #womenintech: focusstl offering free 4-day women #stem leadership class with
 mastercard\xe2\x80\x94apply 10/31!"
331,five common traits women reach c-suite #leadership #womenintech #stem
332,"announcing next speaking event:\nieee-wie global women stem leadership summit atlanta, ga. november 2 \xe2\x80\x93..."
333,double bind' explains dearth women top leadership positions #stem
334,"""girledworld"" - encouraging women 15-18yo"
335,"powerful, successful women shared qualities leadership: optimism, merriment, resilience, stem,"
336,women technology opens nominations 2017 #leadership
337,columbiaspec literally interviewed lack stem women leadership panels workshops
338,disappointed columbiaspec 's women leadership panel. single stem academia speaker.
339,change...the big change. roll us momentum.
340,"take next step! sustainable
 leadership conference. save date come"
341,"keep women stem: set success early & use team input, says"
342,gender parity: career advice women stem #leadership via
343,xprize launches two new competitions addressing water scarcity women\xe2\x80\x99s safety
344,show us money! women & money- letting flow. \n \xe2\x80\xa6\n#leadership #wopincle #womeninbusiness #marketing #stem
345,"girlscoutsin smwc talk women leadership, stem new $7 million center #iibtv. wthrcom wthitv"
346,hp #hpreinvent showcase strong women roles leadership positions get girls involved
347,stem flow women ensure reach leadership roles? #genderequality
